assetId,author,source,license,commercialUse,modificationAllowed,attribution,evidencePath
sfx.attack.needle.02,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/attack-needle-02.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.attack.needle.03,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/attack-needle-03.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.hit.ceramic.01,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/hit-ceramic-01.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.hit.ceramic.02,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/hit-ceramic-02.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.hit.ceramic.03,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/hit-ceramic-03.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.hit.glass.01,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/hit-glass-01.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.hit.glass.02,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/hit-glass-02.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.hit.glass.03,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/hit-glass-03.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.hit.fabric.01,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/hit-fabric-01.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.hit.fabric.02,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/hit-fabric-02.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.hit.fabric.03,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/hit-fabric-03.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.heavy.impact.01,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/heavy-impact-01.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.heavy.impact.02,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/heavy-impact-02.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.shield.absorb.01,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/shield-absorb-01.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.shield.absorb.02,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/shield-absorb-02.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.dot.01,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/dot-01.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.dot.02,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/dot-02.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.heavy.windup,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/heavy-windup.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.shield.raise,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/shield-raise.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.heal,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/heal.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.cleanse,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/cleanse.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.critical,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/critical.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.defeat.ceramic,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/defeat-ceramic.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.defeat.glass,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/defeat-glass.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.defeat.fabric,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/defeat-fabric.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.victory,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/victory.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.retreat,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/retreat.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.ui.click,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/ui-click.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.ui.back,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/ui-back.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.ui.confirm,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/ui-confirm.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.ui.reject,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/ui-reject.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.ui.equip,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/ui-equip.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.ui.lock,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/ui-lock.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.item.salvage,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/item-salvage.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.item.drop.common,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/item-drop-common.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.item.drop.fine,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/item-drop-fine.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.item.drop.resonant,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/item-drop-resonant.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.item.craft,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/item-craft.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.item.reforge,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/item-reforge.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.item.upgrade,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/item-upgrade.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.ui.levelup,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/ui-levelup.wav,Original project output,yes,yes,none,rights-evidence.md
sfx.ui.routeunlock,Original synthesis for Piulka/shov,assets/art-audio-v1/sources/audio-wav/sfx/ui-routeunlock.wav,Original project output,yes,yes,none,rights-evidence.md
